video_id,title,country_code,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
St3iSYIJGwE,KING COBRA GARAGA NGAMBEK KARENA INI/AUTO PANIK SEMUA,ID,2019-12-15T12:37:52.000Z,UCK80fj7o9HUEWvobSVp2J-Q,PANJI PETUALANG,15,19.17.12,Dehakims|panjipetualang|trending|garaga|kingcobra,3390368,90867,2362,10977,https://i.ytimg.com/vi/St3iSYIJGwE/default.jpg,FALSE,FALSE,"Saat A irfan hakim grebek rumah, banyak hal yang ia lakukan, salah satunya melihat Garaga si King cobra, tapi saat di lihat garaga nya malah..CARI PERLENGKAPAN SAFETY KALIAN DI TOKOPEDIACEK DISINI http://tkp.me/alatsafetypanjiCEK VIDEO TERBARU DISINIhttps://www.youtube.com/playlist?list=PLN-0fD-xjoy65GKPFnZViQejr54OeWRVLEDUKASI BERMANFAAT CEK DISINIhttps://www.youtube.com/playlist?list=PLN-0fD-xjoy7LjpM_o2-k-RfffwWOJ3AMEXPEDISI SERU CEK DISINIhttps://www.youtube.com/playlist?list=PLN-0fD-xjoy72XTJcOpjiEOtcMiz64FIBFOLLOW MEDIA SOSIAL PANJI LAINNYA DISINI :FANSPAGEhttps://www.facebook.com/panjipetualangreal/Insfagram https://www.instagram.com/panjipetualang_real/#Kingcobra #panjipetualang #irfanhakim"
dviNV9b8Pcs,LYODRA - IT'S ALL COMING BACK TO ME NOW - SPEKTA SHOW TOP 11 - Indonesian Idol 2020,ID,2019-12-16T22:19:42.000Z,UCpr5mSSUbIQU816dNjaDdyg,Indonesian Idol,24,19.17.12,Indonesian|idol|season|10|tv|television|RCTI|home|of|the|idols|host|daniel|mananta|judges|ari|lasso|maia|estianty|judika|sihotang|bunga|citra|lestari|anang|hermansyah|min|eps|episode|17|spekta|05|top|11|lyodra|its. All|coming|back|to|me|now,1452521,83802,1661,18961,https://i.ytimg.com/vi/dviNV9b8Pcs/default.jpg,FALSE,FALSE,"#IndonesianIdol #HomeOfTheIdols #IdolSpektaTop11https://www.tokopedia.com/play/campaign/indonesian-idolOriginal Song : IT'S ALL COMING BACK TO ME NOW (Pandora’s Boxft. Elaine Caswell) - SPEKTA SHOW TOP 11 - Indonesian Idol 2020It's Indonesian Idol 2019 HOME OF THE IDOLS!Daniel Mananta kembali sebagai host. Dan dengan Ari Lasso, Anang Hermansyah, BCL, Judika, dan Maia Estianty ikut meramaikan sebagai Juri Indonesian Idol 2019!Subscribe now for more Indonesian Idol videos: http://youtube.com/IndonesianIdolLike Indonesian Idol on Facebook:http://www.facebook.com/IndonesianIdolOfficialFollow Indonesian Idol on Twitter:http://twitter.com/IndonesianIdolDo You Have Instagram, follow us:www.instagram.com/indonesianidolid"
jwHcEMLwKis,MARTHA DAN BETI BUKA AIB MERLIN,ID,2019-12-17T08:00:52.000Z,UCfx3oPv3cJm2aCJ7UnhKx8A,Arif muhammad,23,19.17.12,arif muhammad|mak beti|ma beti|vidgram|sketsa|komedi|sitkom|mama beti|mamak beti|medan,1083413,71842,1346,4743,https://i.ytimg.com/vi/jwHcEMLwKis/default.jpg,FALSE,FALSE,"Find me on sosial media :Instagram: https://www.instagram.com/arifmuhammaddd_/Facebook: https://www.facebook.com/arifmuhammaddd/?ref=br_rs&_rdc=4&_rdrfor bussines Email: arifmuhammadd35@gmail.com"
h6RT2qMTGQg,Tones and I - Dance Monkey (Lyrics),ID,2019-12-14T14:07:50.000Z,UCTFFPzHv1VZiVww1siqJi9Q,Popular Music,10,19.17.12,Tones and I|Dance Monkey|tones and i dance monkey|tones and i dance monkey lyrics|dance monkey tones and i|dance monkey tones and i lyrics|dance monkey lyrics|dance monkey lyrics tones and i|dance for me|lyrics dance monkey,4146047,69989,1786,980,https://i.ytimg.com/vi/h6RT2qMTGQg/default.jpg,FALSE,FALSE,"Tones and I - Dance Monkey (Lyrics)Follow Spotify Playlist : https://Popular-Music.lnk.to/SpotifyStream Dance Monkey :https://tonesandi.lnk.to/DanceMonkeyYTFollow Tones and Ihttps://www.instagram.com/tonesandihttps://www.tonesandi.comhttps://www.facebook.com/TONESANDIbackground : pexelDance Monkey tones and i is uploaded here. Dance monkey lyricsbelow:[Verse 1]They say, Oh my god, I see the way you shineTake your hand, my dear, and place them both in mineYou know you stopped me dead while I was passing byAnd now I beg to see you dance just one more time[Pre-Chorus]Ooh, I see you, see you, see you every timeAnd oh my, I, I like your styleYou, you make me, make me, make me wanna cryAnd now I beg to see you dance just one more time[Chorus]So they sayDance for me, dance for me, dance for me, oh-oh-ohI've never seen anybody do the things you do beforeThey sayMove for me, move for me, move for me, ayy-ayy-ayyAnd when you’re done I'll make you do it all again[Verse 2]I said, Oh my god, I see you walking byTake my hands, my dear, and look me in my eyesJust like a monkey, I've been dancin’ my whole lifeBut you just beg to see me dance just one more timedance monkey[Pre-Chorus]Ooh, I see you, see you, see you every timeAnd oh my, I, I like your styleYou, you make me, make me, make me wanna cryAnd now I beg to see you dance just one more timedance monkey lyrics[Chorus]So they sayDance for me, dance for me, dance for me, oh-oh-ohI've never seen anybody do the things you do beforeThey sayMove for me, move for me, move for me, ayy-ayy-ayyAnd when you're done I'll make you do it all againThey sayDance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-ohI've never seen anybody do the things you do beforeThey sayMove for me, move for me, move for me, ayy-ayy-ayyAnd when you're done I'll make you do it all againdance monkey[Bridge]Ooh, ooh, ooh, ooh, ooh(Do it all again, do it all again, do it all again)Oh-oh, oh-oh, ohOoh, ooh, ooh, ooh, ooh-ooh(Do it all again, do it all again, do it all again)Ooh, ah-ah, ah-ahdance monkey[Chorus]They sayDance for me, dance for me, dance for me, oh-oh-ohI've never seen anybody do the things you do beforeThey sayMove for me, move for me, move for me, ayy-ayy-ayyAnd when you’re done I’ll make you do it all againThey sayDance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-ohI've never seen anybody do the things you do beforeThey sayMove for me, move for me, move for me, ayy-ayy-ayyAnd when you’re done I'll make you do it all againAll again"
z-nBFvI5Uss,JAWABAN ANAK SD THN 2019 KOCAK BANGET !!,ID,2019-12-14T15:00:55.000Z,UCQgGiBlZbtuLaPTWealNLLg,Alingga Putra,20,19.17.12,[none],1286999,60421,3058,3198,https://i.ytimg.com/vi/z-nBFvI5Uss/default.jpg,FALSE,FALSE,Selamat malam mingguan :)SUBSCRIBE CHANNELKUhttps://www.youtube.com/channel/UCQgGiBlZbtuLaPTWealNLLgINSTAGRAMAlinggatiraputrahttps://www.instagram.com/alinggatiraputra/FACEBOOKhttps://www.facebook.com/Alingga.Black.HackMusic by :NoCopyrightSoundshttps://www.youtube.com/user/NoCopyrightSounds/featured
dq-BZ1u_e90,RIO KEKEYI PUTUS SETELAH VIDEO INI,ID,2019-12-14T02:00:07.000Z,UCMCbLotdXzd5Eb8XGLxEEWQ,Gritte Agatha,24,19.17.12,Gritte Agatha|vlogritte|gritte|agatha|vlog|rio ramadhan|kekeyi|rio dan kekeyi|rio dan kekeyi putus|artis pansos|pansos|youtuber|viral|trending|q and a|q and a rio dan kekeyi|challenge rio dan kekeyi|rio lupa tanggal jadian sama kekeyi|rio dan kekeyi pacaran|pacar rio|kekeyi putus|rio putus|beauty vlogger|settingan|drama|rio dan kekeyi settingan|pacaran|pacar|mantan rio ramadhan|cathy fakandi|dame|rio selingkuh|rio selingkuh kekeyi|yasmin napper,2077040,49484,10170,12866,https://i.ytimg.com/vi/dq-BZ1u_e90/default.jpg,FALSE,FALSE,"Aduhhhhhhhh... baru aja kemaren masih sayang-sayangan, bahkan di video ini yahh..masih sempet ngomong I LOVE YOU walaupun sedikit berantem. Buat yang udah nonton dipersilahkan jari dan waktunya.================================================EMAIL:For business enquiries please contacthi@gritteagatha.comSUBSCRIBE https://bit.ly/youtubegritteFOLLOW MY INSTAGRAM : https://www.instagram.com/gritteagathaa/TWITTERhttps://twitter.com/gritteagathaaLIKE, COMMENT, SHARE & SUBCRIBE!"
JxiM4z99uZY,EGOIS Mashup AKU PERGI - Cover LESTI FILDAN,ID,2019-12-15T09:48:27.000Z,UC9OUldB9j6PS5_WP77Lz0Uw,LESTI CHANNEL,10,19.17.12,LESTI CHANNEL|Lesti|channel|lesti|lesti kejora|dangdut|dangdut academy|indosiar|lesti channel|egois|lesti d'academy|kejora|lagu baru lesti|lagu dangdut terbaru|lagu lesti|lesti rizki|cover|lesti egois|fildan aku pergi|lesti pildan|egois aku pergi|fildan da,1084655,65517,721,50158,https://i.ytimg.com/vi/JxiM4z99uZY/default.jpg,FALSE,FALSE,Judul  : EGOIS - AKU PERGI ( Mashup )Pencipta : Hendro Saki - Hengki SenopatiDi Populerkan : Lesti FildanMusik : Echal GumilangVidio : Lesti ChannelKreatif : Ikhsan PirdausEditor : Azis SaputraJangan lupa di SUBSCRIBE channel nya papih FILDAN ya gaiis : https://www.youtube.com/channel/UCG-E5Ev8EgjPjOKzZ67Km5Qhttps://www.youtube.com/channel/UC9OUldB9j6PS5_WP77Lz0Uw?sub_confirmation=1Singgle Lesti 1 (KEJORA ) Klik : https://www.youtube.com/watch?v=fPGs0SRw7_QSinggle 2 ( ZAPIN MELAYU ) Klik : https://www.youtube.com/watch?v=aUNgLbfzKVwSinggle 3 ( EGOIS ) Klik  https://www.youtube.com/watch?v=8OoXBXUrcOwSingle 4 (BUKA MATA HATI) Klik Link https://www.youtube.com/watch?v=rEaPcxa9-8MSingle 5 ( MATI GAYA ) Klik Link : https://www.youtube.com/watch?v=OjUnjbICVtMSingle 6 ( PURNAMA ) Klik Linkhttps://www.youtube.com/watch?v=Am-rPZeq2oUSingle 7 ( LEBIH DARI SELAMANYA ) Klik Link :https://www.youtube.com/watch?v=OnX80Vek5MgSingle 8 ( ADA CERITA ) Link : https://www.youtube.com/watch?v=usXhjqeS82UAtau Bisa Di Lihat Di CHANNEL Youtube ( TRINITY OPTIMA PRODUCTION ) https://www.youtube.com/channel/UCebb7o98FEA73WjNsCja5Xg3D ENTERTAINMENT https://www.youtube.com/results?search_query=3d+entertainmentFind Lesti on:Instagram: https://www.instagram.com/lestykejora/Twitter: https://twitter.com/lesti_jenong_daLesti Channel :https://www.instagram.com/lestichannel_official/Official Fans Base : https://www.instagram.com/official_lestylovers_indonesia/?hl=id#EgoisAkuPergi
SVtTo6aTwCM,Special Bali 1 – DMS [Penelusuran],ID,2019-12-14T12:00:05.000Z,UCa3k1_nfBeXbf7be6Dcy_vQ,Sara Wijayanto,22,19.17.12,sara wijayanto sara demian demian sara wijayanto|mistik supernatural|supranatural diary sara wijayanto|paranormal|ghost|beauty blogger|beauty tips|dms|diarymisterisara|#diarymisterisara|mualmual|#mualmual|penelusuran,1381318,85689,684,14078,https://i.ytimg.com/vi/SVtTo6aTwCM/default.jpg,FALSE,FALSE,“ Kami tidak memaksakan apa yang kami percaya untuk kalian percaya. Kami hanya ingin berbagi cerita “ #DiaryMisteriSara #MualMual #DMSspecialBaliFollow IG for updates! @SaraWijayanto@diarymisterisaraInstagram: @WisnuHardanaYouTube: https://www.youtube.com/channel/UCR2g...Instagram: @_demianaditya_ YouTube: https://www.youtube.com/user/numagic666Theme song DMS by Alex Lisi: http://youtube.com/c/AlexLisiReal
bzTWI4pKNy4,Juventus 3-1 Udinese | CR7 Scores Twice as Juve go Top! | Serie A TIM,ID,2019-12-15T17:00:08.000Z,UCBJeMCIeLQos7wacox4hmLQ,Serie A,17,19.17.12,Juventus 3-1 Udinese|Juventus Udinese|Juventus Udinese highlights|Juventus Udinese 3-1 serie a|ronaldo goal|juventus highlights|Cristiano Ronaldo|Ronaldo|Juventus|CR7|Serie A|highlights|Bonucci|Dybala|Insigne|AC Milan|Inter Milan|Napoli|Roma|full highlights|watch|migliori gol|migliori in campo|migliori al mondo|gol del mese|calcio|Italia|lukaku|de ligt|balotelli|sp:ty=high|sp:dt=2019-12-15T13:00:00Z|sp:st=soccer|sp:li=seri|sp:ti:home=JUV|sp:ti:away=UDN|sp:vl=en,4673285,63352,1803,2809,https://i.ytimg.com/vi/bzTWI4pKNy4/default.jpg,FALSE,FALSE,"Cristiano Ronaldo and Bonucci score against Udinese, to give Juventus a 3-1 win | Serie AThis is the official channel for the Serie A, providing all the latest highlights, interviews, news and features to keep you up to date with all things Italian football.Subscribe to the channel here! https://bit.ly/2OM2Eax Find out more about the Serie A at: http://www.legaseriea.it/en/ Questo è il canale ufficiale della Serie A, dove potrai avere accesso ai momenti salienti, alle interviste, alle notizie e alle funzionalità del momento per rimanere aggiornato sulle ultime novità del campionato.Iscriviti qui al canale! https://bit.ly/2OM2EaxPer maggiori infomazioni sulla Serie A: http://www.legaseriea.it/it"
oF3d0p6-iQY,TANBOY KUN MAKAN PAQUI ASLI PAKE MIE GHOST PEPPER | LVL 2.500.000,ID,2019-12-12T13:02:22.000Z,UC8rHUssNDJ9YEjfduAqJBmw,tanboy kun,24,19.17.12,TANBOY KUN|MUKBANG|MAKAN BANYAK|PAQUI|ONECHIPCHALLENGE|PEDAS|SPICY|FOOD,7424322,335545,8525,27603,https://i.ytimg.com/vi/oF3d0p6-iQY/default.jpg,FALSE,FALSE,"Oiya, buat yg pengen tau keseharian gua, dan pengen tau apa aja olahraga gua follow aja sosmed di bawah ini..http://www.instagram.com/Tanboy_kunhttps://www.facebook.com/tanboykun/Check out Tanboy Kun (@tanboy_kun): https://twitter.com/tanboy_kun?s=09Subscribe channelnya Yonathan Anggara : https://www.youtube.com/channel/UCKs5p81GsVgauDi0qxWpHDQ"
ogZ-nicksqw,CERITA CINTAKU SHOW: HUJAN TUH ABIS,ID,2019-12-13T07:43:17.000Z,UC0rzsIrAxF4kCsALP6J2EsA,Raditya Dika,22,19.17.12,raditya dika,3372245,151475,3629,7143,https://i.ytimg.com/vi/ogZ-nicksqw/default.jpg,FALSE,FALSE,"For business inquiries email to: management@radityadika.comInstagram: http://instagram.com/raditya_dika"
Fzl3UE9vgGE,Drama Pembagian Raport Sekolah ( Tuti & Zubaidah ),ID,2019-12-16T08:43:13.000Z,UCqv_Kk7LS-kuyU5Td74zr9A,Nasya Kaila Nazifah,25,19.17.12,[none],562733,11636,1068,1057,https://i.ytimg.com/vi/Fzl3UE9vgGE/default.jpg,FALSE,FALSE,Assalamualaikum Teman TemanDrama ini Seru banget...Dah Dig dug....Serr...😃Semoga Teman2 semuanya Terhibur ❤️SHARESUBSCRIBELIKECOMENTThanks for watching guys...Wassalamualaikum...
